name,samples,valid_cer_samples,mean_cer,median_cer,weighted_cer_by_len,exact_match_rate,mean_len
n10m10,404,404,0.11808069306930694,0.0,0.12245594430560514,0.5297029702970297,6.933168316831683
n10m05,404,404,0.1298019801980198,0.0909,0.1367362727597287,0.4900990099009901,6.933168316831683
n8m10,404,404,0.1321556930693069,0.0,0.13994908961085326,0.504950495049505,6.933168316831683
n8m05,404,404,0.13445074257425743,0.1,0.14280517672259907,0.47277227722772275,6.933168316831683
n6m05,404,404,0.16036287128712873,0.1111,0.16565408782577654,0.44554455445544555,6.933168316831683
