epoch,learning_rate,loss,step
8.59,1e-05,2.1215,1950
8.63,1e-05,2.0343,1960
8.68,1e-05,2.1883,1970
8.72,1e-05,2.0659,1980
8.77,1e-05,2.0902,1990
8.81,1e-05,2.0024,2000
8.85,1e-05,1.9231,2010
8.9,1e-05,2.0455,2020
8.94,1e-05,2.0054,2030
8.99,1e-05,1.8486,2040
9.03,1e-05,1.9246,2050
9.07,1e-05,1.8796,2060
9.12,1e-05,2.1219,2070
9.16,1e-05,1.8299,2080
9.21,1e-05,1.9606,2090
9.25,1e-05,1.9234,2100
9.3,1e-05,1.8546,2110
9.34,1e-05,1.8031,2120
9.38,1e-05,1.814,2130
9.43,1e-05,1.9224,2140
9.47,1e-05,1.8088,2150
9.52,1e-05,1.877,2160
9.56,1e-05,1.8506,2170
9.6,1e-05,1.7557,2180
9.65,1e-05,1.7982,2190
9.69,1e-05,1.9489,2200
9.74,1e-05,1.8875,2210
9.78,1e-05,1.8684,2220
9.82,1e-05,1.8497,2230
9.87,1e-05,1.8864,2240
9.91,1e-05,1.8519,2250
9.96,1e-05,1.7051,2260
10.0,1e-05,1.8092,2270
10.04,1e-05,1.7791,2280
10.09,1e-05,1.6854,2290
10.13,1e-05,1.6971,2300
10.18,1e-05,1.6968,2310
10.22,1e-05,1.7179,2320
10.26,1e-05,1.7329,2330
10.31,1e-05,1.7325,2340
10.35,1e-05,1.683,2350
10.4,1e-05,1.6868,2360
10.44,1e-05,1.6213,2370
10.48,1e-05,1.7591,2380
10.53,1e-05,1.7158,2390
10.57,1e-05,1.603,2400
10.62,1e-05,1.6737,2410
10.66,1e-05,1.5634,2420
10.7,1e-05,1.6075,2430
10.75,1e-05,1.6059,2440
10.79,1e-05,1.6198,2450
10.84,1e-05,1.6126,2460
10.88,1e-05,1.4617,2470
10.93,1e-05,1.4894,2480
10.97,1e-05,1.7792,2490
11.01,1e-05,1.563,2500
11.06,1e-05,1.4895,2510
11.1,1e-05,1.5587,2520
11.15,1e-05,1.5078,2530
11.19,1e-05,1.5288,2540
11.23,1e-05,1.6362,2550
11.28,1e-05,1.5325,2560
11.32,1e-05,1.5695,2570
11.37,1e-05,1.513,2580
11.41,1e-05,1.6304,2590
11.45,1e-05,1.4763,2600
11.5,1e-05,1.4301,2610
11.54,1e-05,1.4033,2620
11.59,1e-05,1.3793,2630
11.63,1e-05,1.4515,2640
11.67,1e-05,1.5526,2650
11.72,1e-05,1.5344,2660
11.76,1e-05,1.3916,2670
11.81,1e-05,1.5254,2680
11.85,1e-05,1.5291,2690
11.89,1e-05,1.4173,2700
11.94,1e-05,1.4842,2710
11.98,1e-05,1.3643,2720
12.03,1e-05,1.2617,2730
12.07,1e-05,1.4131,2740
12.11,1e-05,1.2573,2750
12.16,1e-05,1.3734,2760
12.2,1e-05,1.5317,2770
12.25,1e-05,1.3732,2780
12.29,1e-05,1.2533,2790
12.33,1e-05,1.3545,2800
12.38,1e-05,1.4186,2810
12.42,1e-05,1.3801,2820
12.47,1e-05,1.4105,2830
12.51,1e-05,1.3529,2840
12.56,1e-05,1.3807,2850
12.6,1e-05,1.4294,2860
12.64,1e-05,1.3646,2870
12.69,1e-05,1.361,2880
12.73,1e-05,1.2324,2890
12.78,1e-05,1.3269,2900
12.82,1e-05,1.1338,2910
12.86,1e-05,1.3959,2920
12.91,1e-05,1.4225,2930
12.95,1e-05,1.2122,2940
13.0,1e-05,1.3144,2950
13.04,1e-05,1.1923,2960
13.08,1e-05,1.3706,2970
13.13,1e-05,1.3023,2980
13.17,1e-05,1.1537,2990
13.22,1e-05,1.2228,3000
13.26,1e-05,1.2104,3010
13.3,1e-05,1.2503,3020
13.35,1e-05,1.2397,3030
13.39,1e-05,1.1616,3040
13.44,1e-05,1.2873,3050
13.48,1e-05,1.2796,3060
13.52,1e-05,1.265,3070
13.57,1e-05,1.2247,3080
13.61,1e-05,1.2456,3090
13.66,1e-05,1.2521,3100
13.7,1e-05,1.2464,3110
13.74,1e-05,1.1703,3120
13.79,1e-05,1.1765,3130
13.83,1e-05,1.0742,3140
13.88,1e-05,1.2744,3150
13.92,1e-05,1.0901,3160
13.96,1e-05,1.1889,3170
14.01,1e-05,1.2279,3180
14.05,1e-05,1.1156,3190
14.1,1e-05,1.2073,3200
14.14,1e-05,1.0786,3210
14.19,1e-05,1.1325,3220
14.23,1e-05,1.0702,3230
14.27,1e-05,1.1366,3240
14.32,1e-05,1.14,3250
14.36,1e-05,1.1607,3260
14.41,1e-05,1.1871,3270
14.45,1e-05,1.0008,3280
14.49,1e-05,1.231,3290
14.54,1e-05,1.11,3300
14.58,1e-05,1.1174,3310
14.63,1e-05,0.9617,3320
14.67,1e-05,1.1404,3330
14.71,1e-05,1.0606,3340
14.76,1e-05,1.1518,3350
14.8,1e-05,1.1193,3360
14.85,1e-05,0.9952,3370
14.89,1e-05,1.095,3380
14.93,1e-05,1.1221,3390
14.98,1e-05,1.0109,3400
15.02,1e-05,1.0663,3410
15.07,1e-05,1.1193,3420
15.11,1e-05,1.0261,3430
15.15,1e-05,0.9274,3440
15.2,1e-05,1.0624,3450
15.24,1e-05,1.0366,3460
15.29,1e-05,0.9935,3470
15.33,1e-05,1.0331,3480
15.37,1e-05,1.1502,3490
15.42,1e-05,1.3231,3500
15.46,1e-05,0.9502,3510
15.51,1e-05,1.1608,3520
15.55,1e-05,0.9596,3530
15.59,1e-05,1.0243,3540
15.64,1e-05,0.9375,3550
15.68,1e-05,0.9708,3560
15.73,1e-05,1.0032,3570
15.77,1e-05,1.0951,3580
15.81,1e-05,1.1681,3590
15.86,1e-05,1.0313,3600
15.9,1e-05,1.0038,3610
15.95,1e-05,1.0146,3620
15.99,1e-05,1.0671,3630
16.04,1e-05,0.9488,3640
16.08,1e-05,0.9539,3650
16.12,1e-05,1.0092,3660
16.17,1e-05,0.9459,3670
16.21,1e-05,0.9745,3680
16.26,1e-05,0.9543,3690
16.3,1e-05,0.9589,3700
16.34,1e-05,1.0083,3710
16.39,1e-05,0.92,3720
16.43,1e-05,0.9078,3730
16.48,1e-05,0.9329,3740
16.52,1e-05,0.976,3750
16.56,1e-05,0.9104,3760
16.61,1e-05,0.9141,3770
16.65,1e-05,0.8882,3780
16.7,1e-05,1.1595,3790
16.74,1e-05,0.917,3800
16.78,1e-05,0.8848,3810
16.83,1e-05,0.9363,3820
16.87,1e-05,0.9198,3830
16.92,1e-05,0.9855,3840
16.96,1e-05,0.9465,3850
17.0,1e-05,0.9279,3860
17.05,1e-05,0.8749,3870
17.09,1e-05,0.8692,3880
17.14,1e-05,0.8469,3890
17.18,1e-05,0.9166,3900
17.22,1e-05,0.917,3910
17.27,1e-05,0.9672,3920
17.31,1e-05,0.8475,3930
17.36,1e-05,0.8627,3940
17.4,1e-05,0.8643,3950
17.44,1e-05,0.9719,3960
17.49,1e-05,0.8116,3970
17.53,1e-05,0.9783,3980
17.58,1e-05,0.9421,3990
17.62,1e-05,0.9326,4000
17.67,1e-05,0.9304,4010
17.71,1e-05,0.9283,4020
17.75,1e-05,0.8232,4030
